ROI Label,ROI Name,R,A,S
324,L_IP2_ROI,-38,-49,40
325,L_IP1_ROI,-28,-69,38
326,L_IP0_ROI,-30,-79,23
327,L_PFop_ROI,-61,-23,23
328,L_PF_ROI,-56,-38,35
329,L_PFm_ROI,-47,-59,40
330,L_PGi_ROI,-45,-56,22
331,L_PGs_ROI,-40,-72,37
332,L_V6A_ROI,-18,-85,38
333,L_VMV1_ROI,-16,-52,-9
334,L_VMV3_ROI,-27,-58,-11
335,L_PHA2_ROI,-29,-36,-15
336,L_V4t_ROI,-45,-75,1
337,L_FST_ROI,-47,-64,-1
338,L_V3CD_ROI,-34,-87,11
339,L_LO3_ROI,-46,-78,11
340,L_VMV2_ROI,-27,-52,-7
341,L_31pd_ROI,-10,-50,34
342,L_31a_ROI,-3,-37,42
343,L_VVC_ROI,-28,-52,-20
344,L_25_ROI,-4,22,-13
345,L_s32_ROI,-5,32,-13
346,L_pOFC_ROI,-12,12,-19
347,L_PoI1_ROI,-38,-14,-3
348,L_Ig_ROI,-35,-16,13
349,L_FOP5_ROI,-33,26,5
350,L_p10p_ROI,-21,61,6
351,L_p47r_ROI,-42,40,4
352,L_TGv_ROI,-37,-2,-43
353,L_MBelt_ROI,-44,-16,2
354,L_LBelt_ROI,-46,-25,7
355,L_A4_ROI,-63,-21,6
356,L_STSva_ROI,-51,-14,-14
357,L_TE1m_ROI,-62,-27,-17
358,L_PI_ROI,-43,-2,-15
359,L_a32pr_ROI,-8,31,27
360,L_p24_ROI,-3,38,18
