index	label	cifti_label	community_yeo	community_mesulam	community_economo	cortex	subcortex
325	Left_IP1	L_IP1_ROI	frontoparietal	heteromodal	association 2	True	False
326	Left_IP0	L_IP0_ROI	dorsal attention	unimodal	association 2	True	False
327	Left_PFop	L_PFop_ROI	ventral attention	unimodal	association 2	True	False
328	Left_PF	L_PF_ROI	ventral attention	heteromodal	association 2	True	False
329	Left_PFm	L_PFm_ROI	frontoparietal	heteromodal	association 2	True	False
330	Left_PGi	L_PGi_ROI	default mode	heteromodal	association 2	True	False
331	Left_PGs	L_PGs_ROI	default mode	heteromodal	association 2	True	False
332	Left_V6A	L_V6A_ROI	visual	unimodal	association 1	True	False
333	Left_VMV1	L_VMV1_ROI	visual	paralimbic	sensory 1	True	False
334	Left_VMV3	L_VMV3_ROI	visual	unimodal	association 1	True	False
335	Left_PHA2	L_PHA2_ROI	visual	heteromodal	limbic	True	False
336	Left_V4t	L_V4t_ROI	visual	unimodal	sensory 1	True	False
337	Left_FST	L_FST_ROI	dorsal attention	unimodal	association 1	True	False
338	Left_V3CD	L_V3CD_ROI	visual	unimodal	sensory 1	True	False
339	Left_LO3	L_LO3_ROI	visual	unimodal	sensory 1	True	False
340	Left_VMV2	L_VMV2_ROI	visual	paralimbic	sensory 1	True	False
341	Left_31pd	L_31pd_ROI	default mode	heteromodal	association 1	True	False
342	Left_31a	L_31a_ROI	frontoparietal	heteromodal	association 1	True	False
343	Left_VVC	L_VVC_ROI	visual	unimodal	association 1	True	False
344	Left_25	L_25_ROI	limbic	idiotypic	sensory 1	True	False
345	Left_s32	L_s32_ROI	default mode	idiotypic	sensory 1	True	False
346	Left_pOFC	L_pOFC_ROI	limbic	idiotypic	sensory 1	True	False
347	Left_PoI1	L_PoI1_ROI	ventral attention	idiotypic	insula	True	False
348	Left_Ig	L_Ig_ROI	somatosensory	idiotypic	insula	True	False
349	Left_FOP5	L_FOP5_ROI	ventral attention	idiotypic	association 1	True	False
350	Left_p10p	L_p10p_ROI	frontoparietal	heteromodal	association 2	True	False
351	Left_p47r	L_p47r_ROI	frontoparietal	heteromodal	sensory 1	True	False
352	Left_TGv	L_TGv_ROI	limbic	idiotypic	association 1	True	False
353	Left_MBelt	L_MBelt_ROI	somatosensory	unimodal	sensory 2	True	False
354	Left_LBelt	L_LBelt_ROI	somatosensory	paralimbic	association 2	True	False
355	Left_A4	L_A4_ROI	somatosensory	unimodal	association 2	True	False
356	Left_STSva	L_STSva_ROI	default mode	unimodal	association 1	True	False
